ÇÐ±³,ÇÐ³â,³­ÀÌµµ,°ú¸ñ,¹®Á¦,Á¤´ä,¼±ÅÃ 1,¼±ÅÃ 2,¼±ÅÃ 3
ÁßÇÐ±³,2,1,¿µ¾î,´ÙÀ½ Áß ¿Ã¹Ù¸¥ ´ë¸í»ç Á¶ÇÕÀº ¹«¾ùÀÎ°¡¿ä?,He is funny,Their is a dog.,We has a book.,She are my sister.
ÁßÇÐ±³,2,1,¿µ¾î,"""It's raining heavily, _____ I forgot my umbrella."" ºóÄ­¿¡ µé¾î°¥ ¾Ë¸ÂÀº Á¢¼Ó»ç´Â ¹«¾ùÀÎ°¡¿ä?",but,so,and,or
ÁßÇÐ±³,2,3,¿µ¾î,"""What time does the movie start?""ÀÇ ÀÇ¹Ì´Â ¹«¾ùÀÎ°¡¿ä?",±× ¿µÈ­ ¾ðÁ¦ ½ÃÀÛÇÏ³ª¿ä?,±× ¿µÈ­ ¾îµð¼­ º¼ ¼ö ÀÖ³ª¿ä?,±× ¿µÈ­ ¾î¶² Àå¸£ÀÎ°¡¿ä?,±× ¿µÈ­ ¾î¶² ¹è¿ìµéÀÌ Ãâ¿¬ÇÏ³ª¿ä?
ÁßÇÐ±³,2,2,¿µ¾î,What is the meaning of 'zenith'?,"Á¤Á¡, ÀýÁ¤","µ¡¾ø´Â, ¼ø½Ä°£ÀÇ","»ç±³ÀûÀÎ, ½Ç¿ëÀûÀÎ",½Ç¿ëÁÖÀÇÀÇ
ÁßÇÐ±³,2,1,¿µ¾î,What is the meaning of 'prolific'?,"´ÙÀÛÀÇ, ´Ù»êÀÇ",¹«ÁË¸¦ ÀÔÁõÇÏ´Ù,¸ð¹üÀûÀÎ,"¹«¼öÇÑ, ¸·´ëÇÑ"
ÁßÇÐ±³,2,3,¿µ¾î,What is the meaning of 'meticulous'?,¼¼½ÉÇÑ,"¹ø°Å·Î¿î, °íµÈ",¸ð¹üÀûÀÎ,"Á¤Á¡, ÀýÁ¤"
ÁßÇÐ±³,2,1,¿µ¾î,What is the meaning of 'gregarious'?,»ç±³ÀûÀÎ,¹«ÁË¸¦ ÀÔÁõÇÏ´Ù,"½Ç¿ëÀûÀÎ, ½Ç¿ëÁÖÀÇÀÇ ","Á¤Á¡, ÀýÁ¤"
ÁßÇÐ±³,2,1,¿µ¾î,What is the meaning of 'pragmatic'?,"½Ç¿ëÀûÀÎ, ½Ç¿ëÁÖÀÇÀÇ",¾îµð¿¡³ª Á¸ÀçÇÏ´Â,"»ç¾ÇÇÑ,¾Ç¶öÇÑ","Á¤Á¡,ÀýÁ¤"
ÁßÇÐ±³,2,3,¿µ¾î,What is the meaning of 'candid'?,¼ÖÁ÷ÇÑ,"¼û±è¾ø´Â, ¼ÖÁ÷ÇÑ","½Ç¿ëÀûÀÎ, ½Ç¿ëÁÖÀÇÀÇ ",¾îµð¿¡³ª Á¸ÀçÇÏ´Â
ÁßÇÐ±³,2,2,¿µ¾î,What is the meaning of 'efficacious'?,È¿°úÀûÀÎ,¸·´ëÇÑ,¼³µæ·Â ÀÖ´Â,ÀÏÅ»
ÁßÇÐ±³,2,2,¿µ¾î,What is the meaning of 'ambivalent'?,»ó¹ÝµÈ,ÀÏÅ»,¾Ç¶öÇÑ,È¿°úÀûÀÎ
ÁßÇÐ±³,2,3,¿µ¾î,What is the meaning of 'gregarious'?,»ç±³ÀûÀÎ,ÀÏÅ»,¹ø°Å·Î¿î,µ¡¾ø´Â
ÁßÇÐ±³,2,3,¿µ¾î,What is the meaning of 'prolific'?,"´ÙÀÛÀÇ, ´Ù»êÀÇ","Á¤Á¡,ÀýÁ¤",µ¡¾ø´Â,¾îµð¿¡³ª Á¸ÀçÇÏ´Â
ÁßÇÐ±³,2,3,¿µ¾î,He is late. (always)¿¡¼­ °ýÈ£ ¾È¿¡ ´Ü¾î°¡ ¾Ë¸ÂÀº °÷¿¡ ¾²ÀÎ ¹®ÀåÀº?,He is always late,Always he is late,He always is late,He is late always
ÁßÇÐ±³,2,1,¿µ¾î,¡®This is Su-mi. shy is my best friend.¡¯¶ó´Â ¹®ÀåÀÇ ÀÇµµ´Â ¹«¾ùÀÎ°¡¿ä?,¼Ò°³,ÃÊ´ë,ÃàÇÏ,ºñÇÏ
ÁßÇÐ±³,2,3,¿µ¾î,¡®±×µéÀº ³ªÀÇ Ä£±¸µéÀÌ´Ù.¡¯¶ó´Â ¶æÀ» °¡Áöµµ·Ï ¿Ã¹Ù¸£°Ô ÀûÈù ¹®ÀåÀº?,They are my friend.,My are friend they.,Are they my friend.,My are they friend.
ÁßÇÐ±³,2,1,¿µ¾î,It is ( ). =[±×°ÍÀº Å¹ÀÚÀÌ´Ù.]¶ó´Â ¶æÀÌ µÇµµ·Ï ÇÏ´Â º¸±â´Â?,a table,table,not table,the table
ÁßÇÐ±³,2,2,¿µ¾î,¡®John opens the door.¡¯¶ó´Â ¹®ÀåÀÌ ¸í·É¹®À¸·Î ¹Ù²ï °ÍÀ» °í¸£½Ã¿À.,"Open the door, John.","Opens the John, door.","Opens the door, John.",John open the door.
ÁßÇÐ±³,2,3,¿µ¾î,I am a book. (reading)¿¡¼­ ¡®³ª´Â Ã¥À» ÀÐ°í ÀÖ¾î¡¯ ¶ó´Â ¶æÀÎ ¹®ÀåÀº?,I am reading a book.,I am a reading book,Reading i am a book.,I reading am a book.
ÁßÇÐ±³,2,2,¿µ¾î,[³ª´Â ¶§¶§·Î ³ªÀÇ Á¶ºÎ¸ð´Ô ´ìÀ» ¹æ¹®ÇÑ´Ù.]¶ó´Â ¶æÀ» °¡Áø ¹®ÀåÀº?,I sometimes visit my grandparent.,I always visit my grandparent.,I usually visit my grandparent,I never visit my grandparent.
ÁßÇÐ±³,2,1,¿µ¾î,[I have much money]ÀÇ ºÎÁ¤ÇüÀ¸·Î µÈ ¹®ÀåÀ» °í¸£½Ã¿À.,I don't have much money,I doesn¡¯t have much money,I not have much money,I have not much money.
ÁßÇÐ±³,2,3,¿µ¾î,Do you like fish? ÀÇ ´ë´äÀ¸·Î ¾Ë¸ÂÀº °ÍÀº?,"yes, I like fish.","yes, like I fish.","yes, fish like I.","yes, like fish I."
ÁßÇÐ±³,2,3,¿µ¾î,¡®( ) do you get up in the morning?¡¯¿¡¼­ ¡®³Ê´Â ¾ÆÄ§ ¸î ½Ã¿¡ ÀÏ¾î³ª´Ï?¡¯ ¶ó´Â ¶æÀÌ µÇµµ·Ï ÇÏ´Â º¸±â´Â?,when,what,where,why
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,       ,,,,
