학교,학년,난이도,과목,문제,정답,선택1,선택2,선택3
중학교,1학년,1,수학,2의 배수인 소수 중 가장 작은 수는?,2,30,2,-3
중학교,1학년,2,수학,7의 약수의 개수는?,2,5,5 x 5,"15, 24"
중학교,1학년,1,수학,18을 소인수분해한 결과는?,2 x 3 x 3,2,"6, 4",2 x 3 x 3
중학교,1학년,1,수학,25의 소인수는?,5 x 5,12,5 x 5,"14, 18"
중학교,1학년,2,수학,980을 소인수분해한 결과는?,2 x 2 x 5 x 7 x 7,10,2 x 2 x 5 x 7 x 7,20
중학교,1학년,2,수학,2의 배수인 소수 중 가장 작은 수는?,2,"14, 11",8a,3a - b - 2c
중학교,1학년,2,수학,7의 약수의 개수는?,2,2,"15, 24",26
중학교,1학년,1,수학,18을 소인수분해한 결과는?,2 x 3 x 3,3a - b - 2c,2 x 3 x 3,36
중학교,1학년,3,수학,25의 소인수는?,5 x 5,5 x 5,"14, 11",5
중학교,1학년,2,수학,980을 소인수분해한 결과는?,2 x 2 x 5 x 7 x 7,√13,"8, 1",5x - y
중학교,1학년,1,수학,12와 16의 최대공약수는?,4,75,-1,4
중학교,1학년,2,수학,10과 20의 최소공배수는?,20,2 x 2 x 5 x 7 x 7,20,8a
중학교,1학년,1,수학,28과 42의 최대공약수는?,14,2.25,14,3 x 3 x 3 x 7 x 11 x 13 x 37
중학교,1학년,3,수학,15와 25의 최소공배수는?,75,75,a^3-b^3-4a^2b-4ab^2,20
중학교,1학년,2,수학,24와 36의 최대공약수는?,12,x^2-y^2,"12, 5",5
중학교,1학년,2,수학,12와 16의 최대공약수는?,4,3,13,2 x 2 x 2 x 2 x 2 x 3
중학교,1학년,1,수학,10과 20의 최소공배수는?,20,504,10,30
중학교,1학년,2,수학,28과 42의 최대공약수는?,14,7,a^2 - 2ab + b^2,8
중학교,1학년,2,수학,15와 25의 최소공배수는?,75,72,"12, 5",23
중학교,1학년,1,수학,24와 36의 최대공약수는?,12,7,45,4
중학교,1학년,2,수학,5/7의 분자는?,5,a^3-b^3-4a^2b-4ab^2,"12, 18",105
중학교,1학년,1,수학,2/3을 소수로 변경하면?,0.6666666667,8a,"3, 7",3.3
중학교,1학년,2,수학,√3은 얼마인가?,1.7320508076,0.5,2 x 3 x 3,20
중학교,1학년,2,수학,1/3의 역수는?,3,4,5,2.25
중학교,1학년,1,수학,-5의 절댓값은?,5,75,6,3
중학교,1학년,2,수학,5/7의 분자는?,5,30,8a,6
중학교,1학년,2,수학,2/3을 소수로 변경하면?,0.6666666667,1.7320508076,14,10
중학교,1학년,2,수학,√3은 얼마인가?,1.7320508076,0.6666666667,14,4
중학교,1학년,1,수학,1/3의 역수는?,3,4,2,4a
중학교,1학년,2,수학,-5의 절댓값은?,5,10,-1,6
중학교,1학년,3,수학,5 + 7은?,12,10,a^2 + 2ab + b^2,36
중학교,1학년,3,수학,10 - 4는?,6,4a,3a - b - 2c,16
중학교,1학년,3,수학,2.5 x 12는?,30,2,"20, 14","10, 6"
중학교,1학년,2,수학,15 ÷ 5는?,3,"7, 5",a^3-b^3-4a^2b-4ab^2,"(-2 + √13) / 6, (-2 - √13) / 6"
중학교,1학년,3,수학,3√2 + 2√6는?,5√2,10,10,"6, 8"
중학교,1학년,2,수학,5 + 7은?,12,-3,y = x + 3,5
중학교,1학년,1,수학,10 - 4는?,6,7,"14, 18",8
중학교,1학년,1,수학,2.5 x 12는?,30,20,5,5 x 5
중학교,1학년,2,수학,15 ÷ 5는?,3,x^2-y^2,윗볼록한 형태,20
중학교,1학년,2,수학,3√2 + 2√6는?,5√2,3,2,"(-2 + √13) / 6, (-2 - √13) / 6"
중학교,1학년,2,수학,a + 3a는?,4a,2,3,3a
중학교,1학년,3,수학,2x - 5y + 3x + 4y는?,5x - y,E,"14, 18",10
중학교,1학년,2,수학,3(a - b) + 2(b - c)는?,3a - b - 2c,5 x 5,3a - b - 2c,3
중학교,1학년,2,수학,3x^2 + 2x - 1의 근은?,"(-2 + √13) / 6, (-2 - √13) / 6",3a - b - 2c,a^2 + 2ab + b^2,10
중학교,1학년,2,수학,x^2 - 2x - 3 = 0의 해는?,"-1, 3",5x - y,"12, 18",36
중학교,1학년,3,수학,a + 3a는?,4a,105,5 x 5,a^2 - 2ab + b^2
중학교,1학년,2,수학,2x - 5y + 3x + 4y는?,5x - y,y = x + 1,30,"15, 25"
중학교,1학년,1,수학,3(a - b) + 2(b - c)는?,3a - b - 2c,루트5 + 루트7,"14, 18",26
중학교,1학년,1,수학,3x^2 + 2x - 1의 근은?,"(-2 + √13) / 6, (-2 - √13) / 6",-17,3a - b - 2c,26
중학교,1학년,2,수학,x^2 - 2x - 3 = 0의 해는?,"-1, 3",4,x^2-a^2,0.6666666667
중학교,1학년,2,수학,(a + b)^2를 전개하면?,a^2 + 2ab + b^2,"-1, 3",504,-1
